Category,Film,Sum of IMDB,Runtime
World Cinema,Shambala,7.4,1899-12-30 01:35:37
World Cinema,Sharaf,7.6,1899-12-30 01:24:45
World Cinema,Sherdil: The Pilibhit Saga,6.6,1899-12-30 01:47:33
World Cinema,Someone You Loved,6.5,1899-12-30 01:42:46
World Cinema,Soulmate,7.5,1899-12-30 02:03:06
World Cinema,Switch,6.6,1899-12-30 01:51:52
World Cinema,The American Dream,5.7,1899-12-30 01:43:14
World Cinema,The Apple Day,6.7,1899-12-30 01:20:43
World Cinema,The Best is Yet To Come,6.6,1899-12-30 01:54:41
World Cinema,The Black Swindler,5.5,1899-12-30 02:06:22
World Cinema,The Christening,5.9,1899-12-30 01:23:56
World Cinema,The Enemy,5.8,1899-12-30 01:45:00
World Cinema,The Green Perfume,5.3,1899-12-30 01:41:01
World Cinema,The House of no Man,6.2,1899-12-30 01:43:19
World Cinema,The Last Queen,6.7,1899-12-30 01:47:39
World Cinema,The Village,5.8,1899-12-30 02:01:03
World Cinema,Tokyo Revengers,6.5,1899-12-30 02:00:07
World Cinema,Tokyo Revengers 2 Part 1,6.5,1899-12-30 01:30:16
World Cinema,TV Society,5.9,1899-12-30 01:08:49
World Cinema,Üç Yol,6.2,1899-12-30 01:59:20
World Cinema,Udanpaal,6.6,1899-12-30 01:53:01
World Cinema,Varisu,6.0,1899-12-30 02:29:04
World Cinema,Vellarikkapattanam,8.8,1899-12-30 01:51:41
World Cinema,Vikram Vedha,7.1,1899-12-30 02:37:32
